TXU Energy,8D808ED7-9EE7-4D91-A6E6C94DDBABDD52,10-02-2014T09:09,Energy Supplier
CenterPoint Energy,1944D865-6462-4651-BE7949F85BCBCDA8,10-02-2014T09:11,Utility
Infinite Energy,8EB90248-E66B-4A0D-9FAAA0908DA43E66,10-10-2014T16:40,Energy Supplier
Direct Energy,6679EC01-5902-4F5C-BCED6B5C736639C9,06-25-2014T16:40,Energy Supplier
Pepco (MD),AF91D378-8EE6-4FAC-A8555CDBC30200BA,07-23-2014T11:56,Utility
Pepco (DC),CF038FE8-5D26-4F41-9F45E178FA61B00,08-07-2014T10:46,Utility
CLP,38311369-DE03-4BF9-8BDC934D00181BE3,08-07-2014T00:00,Utility
UI,94ECF3FA-F02D-4541-B54B53447B008490,08-07-2014T00:00,Utility
DELM,F18DB4B4-FFFE-4E90-9197B8C929004B75,08-07-2014T00:00,Utility
Ameren,E9FFB14F-EC7C-4C75-8CB3B05A9B263AA,08-07-2014T00:00,Utility
CIPS,B527CC37-EDE8-4526-A36D788DDA47F6C9,08-07-2014T00:00,Utility
IP,6C3E234E-4651-4995-B55944327CAEDF7F,08-07-2014T00:00,Utility
COMED,F83F6141-CF21-4782-AAD1926CBAA87DC2,08-07-2014T00:00,Utility
BECO,4AFAE233-2D80-4297-BB011627CBC316B,08-07-2014T00:00,Utility
CELCO,301E5907-CAC6-40EE-8EC7CD61217E4968,08-07-2014T00:00,Utility
COMELEC,54D2B1B5-798B-4E58-A92CBCABD416B409,08-07-2014T00:00,Utility
FGE,F29F83A3-631C-49DC-88E800C6C3E0C21,08-07-2014T00:00,Utility
MECO,010D03F8-E572-4C76-98626B86141ECAB,08-07-2014T00:00,Utility
WMECO,F46E7351-F7F3-4E60-84E930E1003B4181,08-07-2014T00:00,Utility
APS,ED8BFED9-A290-458E-9EC5837100C2AA45,08-07-2014T00:00,Utility
CMP,6250DB79-6537-46E3-8782A36790C2473,08-07-2014T00:00,Utility
PSEG,D787F09E-ABF7-4E04-BAEBDC65334315F,08-07-2014T00:00,Utility
RECO,794B50F4-3ABF-4745-9ED871EEDC2417E6,08-07-2014T00:00,Utility
AECO,7D71126D-B9F6-45CC-8D97DE00DD916F83,08-07-2014T00:00,Utility
JCPL,2F387311-79E9-46BB-00ACF00345D4899,08-07-2014T00:00,Utility
CENHUD,D16F67A7-5697-4F12-BD7E00F9A542F68F,08-07-2014T00:00,Utility
ConEd,C64F3FA2-AC71-451F-854F782582314313,08-07-2014T00:00,Utility
NIMO,031FE240-ECB8-4698-90FD5C2B07561E8C,08-07-2014T00:00,Utility
NYSEG,1098D044-32C3-499E-8BB06EF39459D9F0,08-07-2014T00:00,Utility
OR,8DAB3298-55AC-4217-B266363DEA53BBF7,08-07-2014T00:00,Utility
RGE,A26A4212-8126-47BC-BA6C066800F9E007,08-07-2014T00:00,Utility
CGE,9B18BBE2-BF05-4CB6-B60664BB9FFBCCF3,08-07-2014T00:00,Utility
DPL,1F650E4D-D522-4F00-915E282700F29DDC,08-07-2014T00:00,Utility
CS,B3A3CA3F-B1E3-4517-A9D91EFFA6959D8E,08-07-2014T00:00,Utility
OPCO,28989064-A2FB-43AE-A56D6258E36F7574,08-07-2014T00:00,Utility
DEOK,5F433B71-FB96-4442-83CF1B8739373B18,08-07-2014T00:00,Utility
FE_OH,9805EFED-8F58-45BE-A7E22F92A34B378,08-07-2014T00:00,Utility
WPP,5859BE76-42F3-4D39-8525DBE1BC79C99,08-07-2014T00:00,Utility
DUQ,0895A639-159F-4922-B627A6B8E7261BC,08-07-2014T00:00,Utility
METED,23F3DF5A-0A9B-4D00-A600206582F2AAEA,08-07-2014T00:00,Utility
PENELEC,049EFE3A-98E8-4255-95D643F1055628D0,08-07-2014T00:00,Utility
PP,BECF9681-3F70-4405-835FBF546B1BE1E,08-07-2014T00:00,Utility
PPL,9ADA5D34-43C7-4A54-839E51D34DD2FE2E,08-07-2014T00:00,Utility
NECO,C29A74D1-2B59-4CEC-8D714B985DB2ACB2,08-07-2014T00:00,Utility
CNP,F648B217-255E-4316-00A2A9F8B13B5B1,08-07-2014T00:00,Utility
CPL,19CCC402-5E20-470C-91FE217FB2C9273,08-07-2014T00:00,Utility
ONC,70EEBE1A-B7ED-45FE-82310852C256E9C3,08-07-2014T00:00,Utility
TNMP,AA02BE82-A628-4C82-818C16BFC0C2EE00,08-07-2014T00:00,Utility
Constellation Energy,E34B8E6C-C030-4DF3-90AC741300F8B02D,,Energy Supplier
Washington Gas,03F10A5E-67C9-4655-8CDDBA00C5B7B93E,,Utility
UGI (Utility),8EA7B8A7-3629-4F1C-9C187FD73B47EC90,03-19-2014T17:07,Utility
NOVEC Energy Solutions,2D6C5130-9CD7-46D6-B5EDB38115B6FF00,04-07-2014T17:04,Energy Supplier
Hess,AEC80789-7A8B-406C-B5A9B7CEF3636488,04-03-2014T12:48,Energy Supplier
WGES,B1D15EC9-9B1B-41AE-AD53DEC4EDEF9289,04-01-2014T08:20,Energy Supplier
BGE,63B192B4-0584-474C-BA33BE582F94ADF8,04-03-2014T09:15,Utility
PECO,5CA21B4F-9B87-420B-AC0048D1A98E6919,04-03-2014T11:27,Utility
NA Power,99365E18-745A-417C-83CC99C9A1D83562,08-07-2014T11:06,Energy Supplier
WTU,C292FBFC-EA91-4FAB-B60065090347FA77,08-07-2014T00:00,Utility
PO,8647EF21-7FA2-41A0-A2B6B2AE4CA29711,08-07-2014T00:00,Utility
THINK,33D8926E-CEEC-4F4A-823EAC3255CC2B93,08-13-2014T11:38,Energy Supplier
CCES,0839E279-E4B9-4390-BD982418E7947B1,08-15-2014T15:20,Energy Supplier
FTR Energy Services,563B25D2-6C1C-4678-99E09CF72F788745,10-22-2014T15:44,Energy Supplier
Southern California Edison,5967720F-E626-4F3F-9D98A684D519F8EE,09-15-2014T10:06,Utility
The Gas Company,F91171B6-382A-4916-9B001DDEC900E7C,09-15-2014T10:45,Utility
Standard Offer Service,527833FE-68DD-4DEB-A8B3C718C9114931,07-23-2014T16:24,Energy Supplier
Horizon Power & Light,D5ABB3E2-3FD2-448D-A26B9000DCEC10BD,08-08-2014T13:08,Energy Supplier
Stream Energy,F1C0552B-D11A-4178-BF7C810205F729FC,08-11-2014T09:38,Energy Supplier
Starion,82680EE7-F7DD-4C97-B69DCF4C4E74BEE2,08-18-2014T09:41,Energy Supplier
PPL Electric,9321846E-EB4F-4470-8006A5FBA9CF9E1C,11-04-2014T08:40,Utility
3 Phases Renewables,2BD59542-3D28-4AE0-90F76D636B787200,11-10-2014T09:58,Energy Supplier
4Change Energy Company,F9312B10-79D5-443F-BD57EE96D55EBFA,11-10-2014T10:03,Energy Supplier
"Accent Energy Holdings, LLC",77ADE116-88E2-45CE-BB688FA5D93529E9,11-10-2014T10:03,Energy Supplier
